leafID	Vcmax25	Jmax25	gm25	Rd25	alpha	theta	Am	g0	g1
1	126.16	186.55	0.154	1.68	0.281	0.79	21.08	0.03	5.28
2	129.16	190.99	0.157	1.72	0.287	0.79	21.58	0.03	5.28
3	132.18	195.46	0.161	1.76	0.294	0.79	22.09	0.03	5.28
4	135.17	199.88	0.165	1.8	0.301	0.79	22.59	0.03	5.28
5	138.92	205.42	0.169	1.85	0.309	0.79	23.21	0.03	5.28
6	140.55	207.84	0.171	1.87	0.313	0.79	23.49	0.03	5.28
7	141.27	208.9	0.172	1.88	0.314	0.79	23.61	0.03	5.28
8	141.89	209.81	0.173	1.89	0.316	0.79	23.71	0.03	5.28
9	142.45	210.64	0.174	1.9	0.317	0.79	23.8	0.03	5.28
10	132.78	196.34	0.162	1.77	0.295	0.79	22.19	0.03	5.28
11	92.38	136.6	0.113	1.23	0.205	0.79	15.44	0.03	5.28
