leafID	Vcmax25	Jmax25	gm25	Rd25	alpha	theta	Am	g0	g1
1	156.72	232.4	0.194	2.16	0.281	0.79	24.3	0.03	5.28
2	160.45	237.94	0.199	2.21	0.287	0.79	24.88	0.03	5.28
3	164.2	243.5	0.204	2.26	0.294	0.79	25.46	0.03	5.28
4	167.91	249.0	0.208	2.31	0.301	0.79	26.04	0.03	5.28
5	172.56	255.9	0.214	2.38	0.309	0.79	26.76	0.03	5.28
6	174.6	258.92	0.217	2.4	0.313	0.79	27.07	0.03	5.28
7	175.49	260.24	0.218	2.42	0.314	0.79	27.21	0.03	5.28
8	176.26	261.38	0.219	2.43	0.316	0.79	27.33	0.03	5.28
9	176.95	262.41	0.22	2.44	0.317	0.79	27.44	0.03	5.28
10	164.94	244.6	0.205	2.27	0.295	0.79	25.58	0.03	5.28
11	114.76	170.18	0.142	1.58	0.205	0.79	17.79	0.03	5.28
